arrival_time,input_tokens,output_tokens
0.0,770,491
5.55,949,126
6.244,964,79
7.063,78,5
7.297,1724,28
7.297,946,11
7.354,913,370
7.544,931,86
8.146,1195,1
8.266,1332,508
8.619,1258,403
8.865,655,396
10.603,1105,336
11.494,708,325
12.494,363,207
12.553,254,40
13.504,1480,149
13.834,1128,824
13.905,6219,85
14.148,986,1
14.199,248,47
14.407,734,156
14.448,957,96
14.709,217,7
14.796,269,14
15.052,1075,31
15.542,8817,307
16.656,2908,91
17.217,1800,25
17.404,690,48
18.851,1433,61
19.341,1011,111
19.595,14797,51
21.353,1449,139
21.8,4425,464
22.005,2003,386
22.117,1625,60
22.492,4376,318
22.688,548,388
22.757,2666,3
22.794,3966,288
22.835,1220,345
22.94,952,26
23.051,458,169
25.052,1594,524
25.299,1464,61
25.468,4196,150
25.585,971,287
25.85,707,64
26.543,735,292
26.843,1274,463
26.971,1433,45
26.998,1379,24
27.214,1176,333
27.349,254,31
27.494,459,36
28.19,1018,28
28.209,1123,181
28.244,908,62
28.743,2821,492
30.268,678,603
30.35,1270,85
30.71,301,1
30.744,949,127
30.798,3999,277
31.692,1480,150
31.945,437,57
32.001,551,224
32.066,513,78
32.106,1357,384
32.447,1034,38
32.659,438,1
32.749,438,67
32.94,1073,26
32.99,188,342
33.745,344,26
34.5,3584,269
34.693,692,44
35.218,8855,362
35.269,1357,385
35.552,969,368
35.718,2915,107
35.855,1114,28
36.101,1049,199
36.546,5639,455
36.619,468,61
36.747,887,35
37.194,1660,387
37.516,990,658
37.94,362,77
38.043,2445,331
38.1,3350,62
38.854,4180,63
39.766,1702,473
40.218,624,227
41.311,387,125
41.499,2256,419
42.19,1236,500
42.52,955,222
43.44,1433,74
44.313,302,277
44.324,873,463
45.296,726,44
45.944,646,214
46.096,399,99
46.599,1464,58
46.742,106,37
46.905,1976,419
47.188,353,192
48.805,692,384
48.991,1350,284
49.068,368,148
50.1,2910,75
51.146,478,827
52.6,655,403
53.248,2086,412
53.843,1088,764
54.031,2355,30
54.087,1198,1
54.589,1470,416
55.364,379,183
